date,time,queue_length,queue_time,people_processed,lane_count
18/12/2023 00:00,18:25:00,13,65,92,9
18/12/2023 00:00,18:30:00,8,57,131,9
18/12/2023 00:00,18:35:00,16,41,127,9
18/12/2023 00:00,18:40:00,19,53,132,9
18/12/2023 00:00,18:45:00,16,67,118,9
18/12/2023 00:00,18:50:00,18,59,134,10
18/12/2023 00:00,18:55:00,31,83,144,10
18/12/2023 00:00,19:00:00,25,73,150,10
18/12/2023 00:00,19:05:00,18,63,164,12
18/12/2023 00:00,19:10:00,29,61,167,12
18/12/2023 00:00,19:15:00,24,49,172,12
18/12/2023 00:00,19:20:00,22,59,159,12
18/12/2023 00:00,19:25:00,40,63,179,12
18/12/2023 00:00,19:30:00,45,91,205,12
18/12/2023 00:00,19:35:00,40,75,191,12
18/12/2023 00:00,19:40:00,33,73,212,12
18/12/2023 00:00,19:45:00,38,65,191,12
18/12/2023 00:00,19:50:00,12,53,170,12
18/12/2023 00:00,19:55:00,18,63,129,12
18/12/2023 00:00,20:00:00,18,57,121,11
18/12/2023 00:00,20:05:00,21,71,151,10
18/12/2023 00:00,20:10:00,39,89,146,10
18/12/2023 00:00,20:15:00,23,77,150,10
18/12/2023 00:00,20:20:00,20,71,150,10
18/12/2023 00:00,20:25:00,17,63,103,10
18/12/2023 00:00,20:30:00,24,63,114,8
18/12/2023 00:00,20:35:00,11,47,103,8
18/12/2023 00:00,20:40:00,4,21,50,8
18/12/2023 00:00,20:45:00,11,29,59,7
18/12/2023 00:00,20:50:00,7,47,57,8
18/12/2023 00:00,20:55:00,7,39,58,7
18/12/2023 00:00,21:00:00,4,53,37,5
18/12/2023 00:00,21:05:00,6,31,33,5
18/12/2023 00:00,21:10:00,0,13,26,5
18/12/2023 00:00,21:15:00,0,2,7,5
18/12/2023 00:00,21:20:00,2,11,17,5
18/12/2023 00:00,21:25:00,1,19,17,4
18/12/2023 00:00,21:30:00,1,73,4,2
18/12/2023 00:00,21:35:00,2,95,2,2
18/12/2023 00:00,21:40:00,2,69,4,2
18/12/2023 00:00,21:45:00,1,182,3,2
18/12/2023 00:00,21:50:00,1,42,3,2
18/12/2023 00:00,21:55:00,0,0,8,1
18/12/2023 00:00,22:00:00,0,0,2,1
18/12/2023 00:00,22:05:00,0,0,3,1
18/12/2023 00:00,22:10:00,0,0,0,1
18/12/2023 00:00,22:15:00,0,0,NULL,NULL
18/12/2023 00:00,22:20:00,0,0,2,1
18/12/2023 00:00,22:25:00,0,0,1,1
18/12/2023 00:00,22:30:00,0,0,1,1
18/12/2023 00:00,22:35:00,0,0,0,1
18/12/2023 00:00,22:40:00,0,0,1,1
18/12/2023 00:00,22:45:00,0,0,3,1
18/12/2023 00:00,22:50:00,0,0,2,1
18/12/2023 00:00,22:55:00,0,0,2,2
19/12/2023 00:00,4:00:00,0,0,36,4
19/12/2023 00:00,4:05:00,21,39,69,5
19/12/2023 00:00,4:10:00,69,147,96,4
